Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Bam Adebayo,C,25,MIA,23,850,15.8,.530,.009,.274,8.3,22.5,15.3,15.9,1.2,1.8,13.8,23.8,,0.3,1.1,1.4,.078,,-1.2,0.6,-0.6,0.3,2023
Santi Aldama,PF,22,MEM,6,101,15.0,.576,.455,.061,6.6,20.6,13.1,10.9,1.4,0.0,5.6,14.9,,0.2,0.1,0.3,.139,,2.3,1.7,4.0,0.2,2023
Nickeil Alexander-Walker,SG,24,MIN,5,148,7.7,.578,.714,.086,0.8,7.3,3.9,7.1,1.0,0.6,9.9,12.6,,0.0,0.0,0.0,.011,,-1.9,0.0,-1.9,0.0,2023
Grayson Allen,SG,27,MIL,5,149,11.0,.658,.707,.171,0.7,8.7,4.5,7.8,0.6,0.0,8.3,13.6,,0.2,0.0,0.2,.073,,-0.2,-1.0,-1.1,0.0,2023
Jarrett Allen,C,24,CLE,5,191,13.9,.608,.000,.167,9.5,12.9,11.3,10.2,1.1,2.3,7.2,10.2,,0.3,0.3,0.6,.150,,0.6,1.8,2.4,0.2,2023
Kyle Anderson,PF,29,MIN,4,104,14.9,.551,.200,.067,3.3,14.9,9.0,27.6,3.4,1.7,16.3,16.4,,0.1,0.1,0.2,.079,,-0.5,4.2,3.7,0.1,2023
Giannis Antetokounmpo,PF,28,MIL,3,91,18.8,.525,.057,.585,9.5,32.4,20.4,29.8,0.5,1.9,17.4,37.3,,-0.1,0.1,0.0,-0.026,,1.3,0.6,2.0,0.1,2023
Thanasis Antetokounmpo,PF,30,MIL,2,5,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.017,,-5.2,-2.3,-7.5,0.0,2023
Deandre Ayton,C,24,PHO,10,319,13.9,.553,.000,.207,10.9,24.4,17.8,4.4,0.9,1.8,12.3,19.0,,0.1,0.2,0.3,.047,,-1.9,-1.6,-3.5,-0.1,2023
Patrick Baldwin Jr.,SF,20,GSW,3,11,-4.3,.000,1.000,.000,0.0,28.6,14.1,10.4,0.0,0.0,0.0,11.2,,-0.1,0.0,0.0,-0.176,,-9.8,-2.5,-12.3,0.0,2023
Mo Bamba,C,24,LAL,3,10,2.9,.000,.500,.000,0.0,30.2,15.9,11.8,0.0,9.0,0.0,8.8,,0.0,0.0,0.0,-0.083,,-6.2,3.1,-3.1,0.0,2023
Desmond Bane,SG,24,MEM,6,231,13.3,.548,.431,.250,2.9,13.7,7.9,14.4,0.6,0.0,11.7,26.4,,0.1,0.2,0.3,.056,,1.1,-0.2,0.8,0.2,2023
Harrison Barnes,PF,30,SAC,7,196,12.0,.525,.417,.433,5.1,7.5,6.2,3.5,1.9,1.0,4.0,15.1,,0.2,0.2,0.4,.091,,0.0,0.0,0.0,0.1,2023
RJ Barrett,SG,22,NYK,11,377,14.6,.550,.372,.396,1.5,13.3,7.4,15.0,1.2,0.5,11.5,25.7,,0.3,0.5,0.8,.105,,0.9,0.4,1.3,0.3,2023
Nicolas Batum,PF,34,LAC,5,92,7.9,.579,.895,.000,1.2,13.4,6.9,8.5,1.1,1.7,9.5,9.6,,0.1,0.0,0.1,.028,,-1.5,1.1,-0.4,0.0,2023
Malik Beasley,SG,26,LAL,11,91,5.4,.450,.765,.176,3.7,5.5,4.7,3.0,0.5,0.0,5.2,18.7,,-0.1,0.0,0.0,-0.019,,-3.6,-2.1,-5.7,-0.1,2023
MarJon Beauchamp,SF,22,MIL,2,5,32.9,.833,.333,.000,0.0,23.6,11.3,0.0,0.0,0.0,0.0,25.3,,0.0,0.0,0.0,.210,,13.4,1.2,14.6,0.0,2023
Saddiq Bey,SF,23,ATL,6,133,10.9,.512,.450,.225,5.2,15.2,9.8,5.6,1.1,0.0,4.4,14.2,,0.1,0.0,0.1,.038,,-0.6,-1.5,-2.1,0.0,2023
Bismack Biyombo,C,30,PHO,8,78,15.4,.564,.000,1.125,15.3,24.9,20.2,9.8,0.0,10.6,20.1,16.9,,0.1,0.1,0.1,.088,,-4.4,2.9,-1.5,0.0,2023
Bogdan Bogdanović,SG,30,ATL,6,157,19.1,.701,.611,.130,1.3,12.1,6.2,13.2,1.8,3.0,5.0,15.7,,0.5,0.0,0.5,.165,,3.3,2.7,6.0,0.3,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Devin Booker,SG,26,PHO,11,459,28.6,.686,.253,.278,3.1,10.2,6.7,29.1,2.0,1.6,10.6,29.0,,2.1,0.2,2.3,.236,,8.7,2.0,10.7,1.5,2023
Brandon Boston Jr.,SF,21,LAC,1,1,-50.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.0,,0.0,0.0,0.0,-1.438,,-40.9,-17.3,-58.2,0.0,2023
Christian Braun,SG,21,DEN,19,247,9.5,.572,.222,.422,5.9,12.3,9.2,5.7,2.3,1.4,15.8,11.5,,0.1,0.4,0.5,.091,,-3.3,2.0,-1.4,0.0,2023
Mikal Bridges,SG,26,BRK,4,157,16.3,.539,.325,.299,1.5,13.7,7.7,20.5,0.7,1.2,8.4,29.8,,0.0,0.1,0.1,.027,,2.2,-0.8,1.4,0.1,2023
Malcolm Brogdon,PG,30,BOS,19,474,13.4,.535,.444,.179,3.2,12.4,8.0,17.2,0.3,0.9,8.2,22.0,,0.5,0.3,0.7,.076,,-0.2,-1.5,-1.6,0.0,2023
Dillon Brooks,SF,27,MEM,6,167,2.4,.393,.545,.091,1.7,9.8,5.5,10.3,0.3,0.0,8.0,21.8,,-0.4,0.1,-0.3,-0.082,,-6.1,-1.4,-7.5,-0.2,2023
Bruce Brown,SF,26,DEN,20,530,15.5,.607,.324,.278,3.4,13.8,8.8,10.2,2.0,1.5,10.4,18.7,,0.8,0.7,1.6,.141,,-0.3,1.4,1.1,0.4,2023
Jaylen Brown,SF,26,BOS,20,751,15.5,.570,.310,.203,3.9,12.9,8.5,15.0,1.4,0.9,14.2,27.9,,0.2,0.6,0.8,.051,,-0.4,-0.6,-0.9,0.2,2023
Troy Brown Jr.,SF,23,LAL,12,124,7.8,.393,.536,.000,3.6,16.2,10.3,11.5,0.8,0.7,0.0,9.9,,0.0,0.1,0.1,.050,,-2.5,1.1,-1.4,0.0,2023
Jalen Brunson,PG,26,NYK,11,443,22.9,.589,.348,.296,2.3,11.5,7.0,28.6,2.0,0.2,8.1,28.4,,1.4,0.6,2.1,.227,,6.1,1.6,7.7,1.1,2023
Thomas Bryant,C,25,DEN,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-3.7,-0.7,-4.3,0.0,2023
Jimmy Butler,PF,33,MIA,22,874,24.0,.565,.176,.421,6.0,12.6,9.3,25.1,2.3,1.6,7.3,29.1,,2.4,1.1,3.4,.189,,5.0,1.5,6.5,1.9,2023
Kentavious Caldwell-Pope,SG,29,DEN,20,671,11.3,.598,.568,.216,2.5,8.5,5.6,6.0,2.0,1.7,7.8,12.9,,0.8,0.9,1.6,.117,,-1.4,1.3,-0.1,0.3,2023
Vlatko Čančar,PF,25,DEN,5,10,-13.1,.000,.800,.000,0.0,33.7,17.5,11.4,0.0,0.0,0.0,22.5,,-0.1,0.0,-0.1,-0.427,,-15.2,-5.7,-20.9,0.0,2023
Clint Capela,C,28,ATL,6,151,16.5,.615,.000,.158,9.8,27.6,17.9,2.6,1.9,1.9,9.0,12.2,,0.2,0.1,0.3,.103,,0.4,-0.6,-0.2,0.1,2023
Jevon Carter,PG,27,MIL,4,49,2.6,.278,.778,.000,0.0,9.6,4.6,9.5,1.0,0.0,0.0,7.7,,0.0,0.0,0.0,-0.040,,-6.0,-1.8,-7.7,-0.1,2023
Justin Champagnie,SF,21,BOS,4,10,-7.4,.250,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,,0.0,0.0,0.0,-0.213,,-15.3,-4.0,-19.2,0.0,2023
Max Christie,SG,19,LAL,9,33,15.6,.553,.400,.400,3.4,18.3,11.3,13.0,0.0,2.7,0.0,15.7,,0.1,0.0,0.1,.133,,0.9,1.1,2.0,0.0,2023
Nic Claxton,C,23,BRK,4,117,18.5,.714,.000,.400,5.0,26.1,15.7,9.2,0.5,5.5,9.3,13.6,,0.3,0.2,0.4,.172,,0.9,2.5,3.5,0.2,2023
Amir Coffey,SF,25,LAC,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.048,,-3.7,-1.8,-5.5,0.0,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
