Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Álex Abrines,SG,24,OKC,6,0,18.3,1.3,3.3,.400,1.0,2.2,.462,0.3,1.2,.286,.550,0.3,0.3,1.000,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4.0,2018
Steven Adams,C,24,OKC,6,6,33.3,4.5,7.7,.587,0.0,0.0,,4.5,7.7,.587,.587,1.5,2.2,.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5,2018
Bam Adebayo,C,20,MIA,5,0,15.4,1.4,3.0,.467,0.0,0.2,.000,1.4,2.8,.500,.467,0.6,2.8,.214,1.8,2.2,4.0,0.0,0.0,0.4,0.4,1.6,3.4,2018
LaMarcus Aldridge,C,32,SAS,5,5,35.4,7.4,16.0,.463,0.6,1.0,.600,6.8,15.0,.453,.481,8.2,8.4,.976,2.6,6.6,9.2,2.4,0.6,0.4,1.8,1.8,23.6,2018
Al-Farouq Aminu,PF,27,POR,4,4,32.8,6.8,13.0,.519,3.3,7.5,.433,3.5,5.5,.636,.644,0.5,0.5,1.000,3.0,6.0,9.0,1.3,1.0,0.5,1.5,2.0,17.3,2018
Justin Anderson,SF,24,PHI,7,0,4.7,0.4,1.1,.375,0.3,1.0,.286,0.1,0.1,1.000,.500,0.0,0.0,,0.1,1.1,1.3,0.0,0.1,0.0,0.3,1.1,1.1,2018
Kyle Anderson,SF,24,SAS,5,1,14.6,2.4,4.0,.600,0.0,0.8,.000,2.4,3.2,.750,.600,0.6,0.8,.750,1.0,1.6,2.6,0.6,1.2,0.2,0.6,2.0,5.4,2018
Ryan Anderson,PF,29,HOU,11,0,8.6,0.6,1.8,.350,0.5,1.4,.333,0.2,0.5,.400,.475,0.0,0.0,,0.4,0.8,1.2,0.5,0.3,0.1,0.3,0.9,1.7,2018
Giannis Antetokounmpo,PF,23,MIL,7,7,40.0,9.9,17.3,.570,0.6,2.0,.286,9.3,15.3,.607,.587,5.4,7.9,.691,1.1,8.4,9.6,6.3,1.4,0.9,2.4,4.0,25.7,2018
Carmelo Anthony,PF,33,OKC,6,6,32.3,4.5,12.0,.375,1.0,4.7,.214,3.5,7.3,.477,.417,1.8,2.5,.733,0.5,5.2,5.7,0.3,1.7,0.7,1.0,2.3,11.8,2018
OG Anunoby,SF,20,TOR,10,10,23.8,2.9,5.2,.558,1.3,2.9,.448,1.6,2.3,.696,.683,0.8,1.1,.727,0.9,1.2,2.1,0.7,0.6,0.4,0.6,2.3,7.9,2018
Trevor Ariza,SF,32,HOU,17,17,34.2,2.9,8.2,.360,1.5,5.4,.286,1.4,2.8,.500,.453,1.4,1.8,.742,0.5,3.3,3.8,1.3,1.1,0.1,0.6,2.6,8.8,2018
Luke Babbitt,SF,28,MIA,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
