Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Precious Achiuwa,C,24,TOR,10,196,14.2,.523,.258,.197,11.0,25.8,18.3,17.2,1.0,2.7,17.3,18.7,0.0,0.3,0.3,.079,-2.0,1.1,-0.9,0.1,2024
Bam Adebayo,C,26,MIA,14,482,23.3,.606,.014,.475,7.1,27.4,17.0,19.7,2.0,2.8,12.4,27.5,1.0,0.9,1.9,.187,2.2,1.6,3.8,0.7,2024
Ochai Agbaji,SG,23,UTA,16,302,9.0,.547,.614,.071,4.9,10.5,7.6,7.0,1.3,3.6,13.2,11.3,0.1,0.1,0.2,.037,-2.0,-0.5,-2.5,0.0,2024
Santi Aldama,PF,23,MEM,9,238,14.9,.543,.461,.130,4.4,20.8,12.1,13.0,1.0,2.6,9.0,23.8,0.0,0.2,0.3,.054,1.0,-0.4,0.6,0.2,2024
Nickeil Alexander-Walker,SG,25,MIN,15,320,10.0,.526,.659,.073,1.9,8.3,5.3,15.8,1.8,3.3,12.4,13.1,0.1,0.5,0.6,.095,-1.5,2.4,0.9,0.2,2024
Grayson Allen,SG,28,PHO,16,520,11.8,.654,.593,.185,3.1,12.3,8.0,12.5,0.9,1.1,15.1,14.4,0.7,0.3,1.0,.097,-0.4,-1.4,-1.8,0.0,2024
Jarrett Allen,C,25,CLE,11,312,19.8,.683,.000,.570,12.0,18.8,15.5,11.9,1.1,3.6,16.3,18.0,0.8,0.4,1.1,.176,0.7,0.3,1.0,0.2,2024
Jose Alvarado,PG,25,NOP,4,72,12.7,.476,.548,.194,2.9,11.8,7.4,17.7,4.0,1.3,10.6,22.1,-0.1,0.1,0.1,.039,-2.9,2.4,-0.5,0.0,2024
Kyle Anderson,PF,30,MIN,15,369,13.2,.582,.125,.413,3.2,12.1,8.0,22.4,1.8,3.1,20.9,14.1,0.3,0.7,0.9,.119,-0.8,2.9,2.1,0.4,2024
Giannis Antetokounmpo,PF,29,MIL,15,498,27.9,.632,.105,.516,8.4,24.4,16.8,24.3,1.7,2.7,14.8,35.3,1.2,0.6,1.8,.171,4.6,0.7,5.3,0.9,2024
Thanasis Antetokounmpo,PF,31,MIL,6,40,0.3,.375,.000,.000,5.7,0.0,2.7,12.0,1.2,2.1,33.3,12.8,-0.1,0.0,-0.1,-0.105,-8.5,-2.5,-11.0,-0.1,2024
Cole Anthony,PG,23,ORL,16,409,14.5,.558,.376,.424,4.9,15.4,10.1,20.6,1.3,1.1,15.1,24.4,0.3,0.6,1.0,.115,-0.4,0.3,-0.1,0.2,2024
OG Anunoby,SF,26,TOR,12,378,14.3,.617,.545,.175,2.6,11.6,7.0,10.8,1.8,1.9,12.5,19.7,0.3,0.4,0.7,.094,0.6,0.4,1.0,0.3,2024
Ryan Arcidiacono,PG,29,NYK,5,11,-1.2,.000,1.000,.000,0.0,20.9,10.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,-0.036,-10.3,-0.6,-10.9,0.0,2024
Deni Avdija,SF,23,WAS,16,432,15.0,.596,.306,.177,5.3,16.5,10.8,17.1,1.6,1.0,13.2,17.8,0.5,0.1,0.6,.072,-0.4,-0.8,-1.2,0.1,2024
Deandre Ayton,C,25,POR,14,439,16.9,.582,.000,.061,10.8,29.5,19.4,8.3,2.2,2.2,15.6,17.4,0.2,0.7,0.9,.100,-1.3,0.2,-1.1,0.1,2024
Udoka Azubuike,C,24,PHO,2,9,12.0,1.000,.000,.000,0.0,48.3,25.6,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,.159,-2.0,-0.9,-2.9,0.0,2024
Marvin Bagley III,C,24,DET,16,308,19.5,.651,.043,.362,10.8,18.8,14.8,11.3,0.2,2.9,13.5,21.0,0.7,0.2,0.9,.137,1.2,-1.1,0.1,0.2,2024
Amari Bailey,PG,19,CHO,1,3,24.2,.333,.000,.000,69.8,0.0,36.1,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,-0.041,7.8,-10.8,-3.0,0.0,2024
Patrick Baldwin Jr.,SF,21,WAS,3,11,-4.2,.000,.500,.000,0.0,9.9,4.9,9.9,0.0,0.0,0.0,7.7,0.0,0.0,0.0,-0.175,-10.8,-4.1,-14.9,0.0,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,2024
LaMelo Ball,PG,22,CHO,14,487,21.1,.568,.449,.216,4.9,13.4,9.0,39.9,2.1,0.8,15.4,32.5,0.7,0.2,0.9,.092,4.6,-0.9,3.8,0.7,2024
Mo Bamba,C,25,PHI,6,18,22.9,.671,.167,.833,18.5,29.8,24.2,0.0,2.7,9.8,26.8,26.2,0.0,0.0,0.1,.162,-2.4,1.2,-1.2,0.0,2024
Paolo Banchero,PF,21,ORL,16,532,16.5,.569,.216,.431,4.6,17.7,11.1,21.1,1.6,1.9,16.1,25.9,0.3,0.9,1.2,.107,0.7,0.9,1.6,0.5,2024
Desmond Bane,SG,25,MEM,15,512,19.3,.572,.466,.212,2.6,12.7,7.3,27.2,1.9,2.0,10.6,29.5,0.6,0.5,1.1,.106,3.4,-0.1,3.4,0.7,2024
Dalano Banton,PG,24,BOS,6,36,15.1,.490,.214,.214,12.6,20.0,16.5,8.1,2.7,0.0,6.1,19.7,0.0,0.1,0.1,.142,-5.7,1.6,-4.1,0.0,2024
Dominick Barlow,PF,20,SAS,6,32,3.5,.387,.000,.667,0.0,18.1,8.7,0.0,1.5,0.0,0.0,10.2,0.0,0.0,0.0,-0.038,-7.5,-2.1,-9.7,-0.1,2024
Harrison Barnes,PF,31,SAC,15,473,12.0,.626,.583,.326,2.5,8.6,5.4,6.4,1.2,0.2,7.9,14.8,0.7,0.3,1.0,.098,-0.3,-1.2,-1.5,0.1,2024
Scottie Barnes,SG,22,TOR,16,552,20.9,.565,.329,.244,8.4,21.0,14.6,25.2,2.4,3.4,13.1,24.0,0.8,0.9,1.8,.154,3.7,2.3,5.9,1.1,2024
RJ Barrett,SG,23,NYK,10,300,17.5,.586,.348,.290,2.1,13.4,7.5,15.3,1.0,0.7,11.6,27.8,0.4,0.4,0.8,.126,2.3,-0.2,2.1,0.3,2024
