Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Precious Achiuwa,C,24,TOR,10,0,19.6,3.1,6.6,.470,0.4,1.7,.235,2.7,4.9,.551,.500,0.9,1.3,.692,2.0,4.5,6.5,2.4,0.4,0.6,1.5,1.8,7.5,2024
Bam Adebayo,C,26,MIA,14,14,34.4,8.3,15.5,.535,0.1,0.2,.333,8.2,15.3,.537,.537,6.1,7.4,.825,2.2,8.1,10.4,3.9,1.4,1.0,2.6,2.5,22.7,2024
Ochai Agbaji,SG,23,UTA,16,6,18.9,1.9,4.4,.429,1.0,2.7,.372,0.9,1.7,.519,.543,0.2,0.3,.600,0.9,1.8,2.6,1.0,0.5,0.8,0.7,1.5,4.9,2024
Santi Aldama,PF,23,MEM,9,3,26.4,5.8,12.8,.452,2.1,5.9,.358,3.7,6.9,.532,.535,1.0,1.7,.600,1.1,4.7,5.8,2.0,0.6,0.7,1.3,1.9,14.7,2024
Nickeil Alexander-Walker,SG,25,MIN,15,4,21.3,2.3,5.5,.415,1.3,3.6,.352,1.0,1.9,.536,.530,0.1,0.4,.333,0.3,1.7,2.1,2.5,0.8,0.8,0.8,1.9,5.9,2024
Grayson Allen,SG,28,PHO,16,16,32.5,4.1,8.4,.489,2.4,5.0,.475,1.8,3.4,.509,.630,1.3,1.6,.840,0.8,3.7,4.5,2.9,0.6,0.4,1.6,2.4,11.9,2024
Jarrett Allen,C,25,CLE,11,11,28.4,5.0,7.8,.640,0.0,0.0,,5.0,7.8,.640,.640,3.4,4.5,.755,3.0,5.0,8.0,2.3,0.6,1.2,1.9,2.5,13.4,2024
Jose Alvarado,PG,25,NOP,4,0,18.0,3.0,7.8,.387,1.5,4.3,.353,1.5,3.5,.429,.484,0.5,1.5,.333,0.5,2.0,2.5,2.3,1.5,0.3,1.0,1.5,8.0,2024
Kyle Anderson,PF,30,MIN,15,0,24.6,2.9,5.3,.550,0.1,0.7,.200,2.8,4.7,.600,.563,1.3,2.2,.606,0.7,2.9,3.6,4.1,0.9,0.9,1.7,1.4,7.3,2024
Giannis Antetokounmpo,PF,29,MIL,15,15,33.2,11.5,19.1,.599,0.5,2.0,.233,11.0,17.1,.642,.611,6.3,9.9,.635,2.5,7.8,10.3,4.5,1.2,1.1,4.1,3.0,29.7,2024
