Year,Player,Pos,Tm,MP,G,shooting,peri_def,playmaker,pro_rim,efficiency,influence,scoring
2015,Quincy Acy,4,NYK,18.9,68.0,2,0,2,3,2,2,2
2015,Jordan Adams,2,MEM,8.3,30.0,2,4,1,1,2,2,0
2015,Steven Adams,5,OKC,25.3,70.0,0,2,2,4,3,2,2
2015,Jeff Adrien,4,MIN,12.6,17.0,0,0,0,3,2,2,0
2015,Arron Afflalo,2,DEN,33.0,53.0,5,0,1,1,2,2,3
2015,Arron Afflalo,2,POR,30.1,25.0,4,0,0,1,2,2,3
2015,Alexis Ajinça,5,NOP,14.1,68.0,0,2,1,3,4,3,2
2015,Furkan Aldemir,4,PHI,13.2,41.0,0,1,2,3,2,2,0
2015,Cole Aldrich,5,NYK,16.0,61.0,0,2,2,4,4,2,2
2015,LaMarcus Aldridge,4,POR,35.4,71.0,3,2,1,4,4,4,5
2015,Lavoy Allen,5,IND,17.0,63.0,0,2,0,3,2,2,2
2015,Tony Allen,2,MEM,26.2,63.0,2,3,2,2,3,2,2
2015,Al-Farouq Aminu,3,DAL,18.5,74.0,2,2,0,3,2,2,1
2015,Lou Amundson,4,CLE,6.6,12.0,0,0,2,1,1,1,0
2015,Lou Amundson,4,NYK,20.9,41.0,0,2,2,4,2,1,2
2015,Chris Andersen,5,MIA,18.9,60.0,2,2,0,4,3,2,2
2015,Alan Anderson,2,BRK,23.6,74.0,4,1,0,1,3,2,1
2015,Kyle Anderson,3,SAS,10.8,33.0,2,1,0,1,1,2,0
2015,Ryan Anderson,4,NOP,27.5,61.0,5,0,1,1,4,3,3
2015,Giannis Antetokounmpo,2,MIL,31.4,81.0,0,2,3,4,3,4,4
2015,Carmelo Anthony,3,NYK,35.7,40.0,3,1,1,3,4,3,5
2015,Joel Anthony,5,DET,8.3,49.0,0,2,0,3,3,2,0
2015,Pero Antić,5,ATL,16.5,63.0,4,0,0,1,2,2,1
2015,Trevor Ariza,3,HOU,35.7,82.0,5,3,2,2,3,4,3
2015,Darrell Arthur,4,DEN,17.0,58.0,2,1,1,2,2,2,2
2015,Ömer Aşık,5,NOP,26.1,76.0,0,2,2,4,3,2,2
2015,D.J. Augustin,1,DET,23.8,54.0,3,0,4,1,4,3,3
2015,D.J. Augustin,1,OKC,24.2,28.0,4,0,3,1,2,2,1
2015,Jeff Ayres,4,SAS,7.5,51.0,0,0,2,3,3,2,0
2015,Luke Babbitt,3,NOP,13.2,63.0,4,0,0,1,3,2,1
2015,Cameron Bairstow,4,CHI,3.6,18.0,0,0,2,1,1,1,0
2015,Leandro Barbosa,2,GSW,14.9,66.0,2,1,1,1,3,3,1
2015,J.J. Barea,1,DAL,17.7,77.0,3,0,3,1,2,3,1
2015,Andrea Bargnani,5,NYK,27.1,29.0,3,0,1,3,4,3,4
2015,Harrison Barnes,3,GSW,28.3,82.0,4,1,0,2,3,4,3
2015,Matt Barnes,3,LAC,29.9,76.0,4,1,0,2,3,2,3
2015,Earl Barron,5,PHO,8.9,16.0,2,0,0,1,1,1,0
2015,Will Barton,2,POR,10.0,30.0,2,1,2,1,2,1,0
2015,Will Barton,2,DEN,24.4,28.0,3,1,1,2,4,3,2
2015,Brandon Bass,4,BOS,23.5,82.0,2,1,1,2,4,4,4
2015,Nicolas Batum,3,POR,33.5,71.0,4,3,3,2,2,4,1
2015,Jerryd Bayless,1,MIL,22.3,77.0,2,1,3,2,2,2,2
2015,Aron Baynes,5,SAS,16.0,70.0,2,0,2,3,3,2,2
2015,Kent Bazemore,2,ATL,17.7,75.0,2,1,2,2,2,2,1
2015,Bradley Beal,2,WAS,33.4,63.0,5,3,1,2,2,3,3
2015,Michael Beasley,4,MIA,21.0,24.0,3,1,1,3,2,1,2
2015,Marco Belinelli,2,SAS,22.4,62.0,4,1,0,1,3,2,1
2015,Jerrelle Benimon,4,UTA,1.5,2.0,1,0,5,3,0,1,0
2015,Anthony Bennett,4,MIN,15.7,57.0,2,0,0,3,2,1,2
2015,Patrick Beverley,1,HOU,30.8,56.0,5,1,3,2,2,2,3
2015,Sim Bhullar,5,SAC,1.0,3.0,1,5,4,5,4,3,0
2015,Bismack Biyombo,5,CHO,19.4,64.0,0,2,2,4,3,2,0
2015,Tarik Black,5,HOU,15.7,25.0,0,0,2,3,3,2,0
2015,Tarik Black,5,LAL,21.1,38.0,0,0,0,3,3,2,2
2015,DeJuan Blair,4,WAS,6.2,29.0,0,0,2,3,2,1,0
2015,Steve Blake,1,POR,18.9,81.0,4,1,3,1,2,2,1
2015,Eric Bledsoe,1,PHO,34.6,81.0,3,3,4,2,4,4,5
2015,Vander Blue,2,LAL,37.0,2.0,3,1,3,1,1,1,3
2015,Bojan Bogdanović,3,BRK,23.8,78.0,4,0,0,1,3,2,1
2015,Andrew Bogut,5,GSW,23.6,67.0,0,2,2,4,3,4,2
2015,Matt Bonner,4,SAS,13.0,72.0,4,0,0,1,2,2,0
2015,Trevor Booker,4,UTA,19.8,79.0,2,1,2,3,3,3,2
2015,Carlos Boozer,4,LAL,23.8,71.0,0,1,1,3,4,3,4
2015,Chris Bosh*,5,MIA,35.4,44.0,3,1,1,2,4,3,5
2015,Avery Bradley,2,BOS,31.5,77.0,5,1,1,2,2,2,3
2015,Elton Brand,5,ATL,13.5,36.0,0,2,2,3,2,2,0
2015,Corey Brewer,3,MIN,28.3,24.0,2,3,3,1,2,2,2
2015,Corey Brewer,3,HOU,25.1,56.0,3,1,1,2,2,3,3
2015,Aaron Brooks,1,CHI,23.0,82.0,5,1,3,1,2,3,3
2015,Jabari Brown,2,LAL,29.9,19.0,4,0,1,1,2,2,3
2015,Lorenzo Brown,1,MIN,18.9,29.0,2,1,3,1,2,2,0
2015,Markel Brown,2,BRK,16.6,47.0,2,1,0,1,2,2,0
2015,Shannon Brown,2,MIA,17.8,5.0,4,1,2,1,2,1,0
2015,Kobe Bryant*,2,LAL,34.5,35.0,3,1,4,1,2,3,5
2015,Chase Budinger,3,MIN,19.2,67.0,4,1,0,1,2,2,1
2015,Reggie Bullock,3,LAC,10.5,25.0,4,1,0,1,3,2,0
2015,Reggie Bullock,3,PHO,6.8,11.0,0,0,0,1,0,1,0
2015,Trey Burke,1,UTA,30.1,76.0,5,1,3,1,2,3,3
2015,Alec Burks,2,UTA,33.3,27.0,3,0,3,1,2,3,3
2015,Caron Butler,3,DET,20.8,78.0,4,1,0,1,2,2,1
2015,Jimmy Butler,2,CHI,38.7,65.0,3,3,1,2,4,5,5
2015,Rasual Butler,3,WAS,20.1,75.0,4,1,0,2,2,2,1
2015,Dwight Buycks,1,LAL,20.5,6.0,5,0,3,1,3,2,1
2015,Will Bynum,2,WAS,9.6,7.0,3,0,4,1,1,1,0
2015,Bruno Caboclo,3,TOR,2.9,8.0,1,0,1,0,1,0,0
2015,Nick Calathes,2,MEM,14.4,58.0,2,4,3,2,2,2,0
2015,José Calderón,1,NYK,30.2,42.0,4,0,3,1,2,2,1
2015,Kentavious Caldwell-Pope,2,DET,31.5,82.0,5,1,0,2,2,2,3
2015,Isaiah Canaan,1,HOU,14.8,25.0,4,1,2,1,3,2,1
2015,Isaiah Canaan,1,PHI,25.9,22.0,5,1,3,1,2,3,3
2015,Clint Capela,5,HOU,7.5,12.0,1,2,1,3,2,1,0
2015,DeMarre Carroll,3,ATL,31.3,70.0,4,3,0,2,3,4,3
2015,Vince Carter,2,MEM,16.5,66.0,4,1,1,1,2,2,1
2015,Michael Carter-Williams,1,PHI,33.9,41.0,3,3,4,2,2,1,4
2015,Michael Carter-Williams,1,MIL,30.3,25.0,3,3,4,2,2,3,4
2015,Omri Casspi,3,SAC,21.1,67.0,2,0,2,1,3,3,2
2015,Mario Chalmers,1,MIA,29.6,80.0,4,3,3,2,2,2,3
2015,Tyson Chandler,5,DAL,30.5,75.0,0,2,2,4,3,4,4
2015,Wilson Chandler,3,DEN,31.7,78.0,5,1,1,2,2,3,3
2015,Will Cherry,1,CLE,8.6,8.0,2,4,2,1,1,1,0
2015,Patrick Christopher,2,UTA,7.3,4.0,1,0,0,1,1,1,0
2015,Earl Clark,4,BRK,9.3,10.0,1,0,2,3,2,1,0
2015,Ian Clark,2,UTA,7.0,23.0,4,0,0,1,2,2,0
2015,Ian Clark,2,DEN,4.4,7.0,2,4,1,1,2,1,0
2015,Jordan Clarkson,1,LAL,25.0,59.0,3,1,3,1,4,3,4
2015,Victor Claver,3,POR,7.6,10.0,1,0,2,1,3,2,0
2015,Norris Cole,1,MIA,24.4,47.0,2,1,3,1,2,2,1
2015,Norris Cole,1,NOP,24.4,28.0,3,0,3,1,2,2,2
2015,Darren Collison,1,SAC,34.8,45.0,5,3,3,1,4,4,5
2015,Nick Collison,4,OKC,16.7,66.0,2,1,2,3,2,2,0
2015,Mike Conley,1,MEM,31.8,70.0,5,3,4,2,4,4,3
2015,Jack Cooley,5,UTA,5.4,16.0,0,4,0,3,2,1,0
2015,Chris Copeland,3,IND,16.6,50.0,4,0,1,1,2,1,1
2015,Bryce Cotton,1,UTA,10.6,15.0,3,0,1,1,2,3,1
2015,DeMarcus Cousins,5,SAC,34.1,59.0,3,2,1,4,4,4,5
2015,Robert Covington,3,PHI,27.9,70.0,5,3,1,2,3,3,3
2015,Allen Crabbe,2,POR,13.4,51.0,4,1,0,1,2,2,0
2015,Jamal Crawford,2,LAC,26.6,64.0,5,1,1,1,4,3,3
2015,Jae Crowder,3,DAL,10.6,25.0,4,1,0,1,3,2,0
2015,Jae Crowder,3,BOS,24.2,57.0,2,1,0,2,2,3,2
2015,Dante Cunningham,4,NOP,25.0,66.0,0,1,0,2,2,2,2
2015,Jared Cunningham,2,LAC,4.7,19.0,3,0,1,1,2,1,0
2015,Seth Curry,1,PHO,4.0,2.0,1,0,0,1,0,0,0
2015,Stephen Curry,1,GSW,32.7,80.0,5,3,4,2,4,5,5
2015,Samuel Dalembert,5,NYK,17.0,32.0,0,2,2,4,2,1,0
2015,Troy Daniels,2,HOU,6.4,17.0,4,0,1,1,2,1,0
2015,Troy Daniels,2,MIN,8.1,19.0,4,0,1,1,2,1,0
2015,Troy Daniels,2,CHO,12.3,11.0,5,0,1,1,3,3,1
2015,Gigi Datome,3,DET,5.7,3.0,1,1,1,1,2,3,0
2015,Gigi Datome,3,BOS,10.7,18.0,4,0,0,1,3,2,1
2015,Brandon Davies,4,PHI,19.0,20.0,2,1,2,1,2,1,2
2015,Brandon Davies,4,BRK,6.3,7.0,3,0,1,3,1,1,0
2015,Anthony Davis,4,NOP,36.1,68.0,3,2,1,4,4,5,5
2015,Ed Davis,4,LAL,23.3,79.0,0,2,0,4,4,4,2
2015,Glen Davis,4,LAC,12.2,74.0,0,1,0,2,2,2,0
2015,Andre Dawkins,2,MIA,5.5,4.0,1,0,2,1,1,1,0
2015,Austin Daye,3,SAS,10.3,26.0,4,0,1,1,2,1,0
2015,Austin Daye,3,ATL,9.5,8.0,4,1,2,1,2,2,0
2015,Dewayne Dedmon,5,ORL,14.3,59.0,0,2,2,3,3,2,0
2015,Matthew Dellavedova,2,CLE,20.6,67.0,4,0,3,1,2,2,1
2015,Luol Deng,3,MIA,33.6,72.0,4,1,1,2,3,4,3
2015,DeMar DeRozan,2,TOR,35.0,60.0,3,1,1,2,4,3,5
2015,Boris Diaw,4,SAS,24.5,81.0,2,1,3,2,2,2,2
2015,Gorgui Dieng,5,MIN,30.0,73.0,0,2,2,4,4,4,2
2015,Spencer Dinwiddie,1,DET,13.4,34.0,3,1,3,1,1,1,0
2015,Joey Dorsey,4,HOU,12.4,69.0,0,1,2,3,3,2,0
2015,Toney Douglas,2,NOP,14.8,12.0,2,4,3,1,2,2,0
2015,Chris Douglas-Roberts,2,LAC,8.6,12.0,2,0,0,1,1,1,0
2015,Goran Dragić,2,PHO,33.4,52.0,5,1,3,1,3,3,4
2015,Goran Dragić,1,MIA,34.8,26.0,3,1,4,1,4,3,4
2015,Zoran Dragić,2,PHO,2.2,6.0,3,0,1,0,1,1,0
2015,Zoran Dragić,2,MIA,6.2,10.0,2,0,2,1,2,1,0
2015,Larry Drew II,1,PHI,18.3,12.0,2,0,3,1,1,1,0
2015,Andre Drummond,5,DET,30.5,82.0,0,2,1,4,4,4,4
2015,Jared Dudley,2,MIL,23.8,72.0,4,3,0,2,3,2,1
2015,Tim Duncan*,5,SAS,28.9,77.0,3,2,3,4,4,4,4
2015,Mike Dunleavy,3,CHI,29.2,63.0,4,1,0,2,3,2,1
2015,Kevin Durant,3,OKC,33.8,27.0,5,2,3,2,4,4,5
2015,Cleanthony Early,3,NYK,16.6,39.0,2,1,2,1,2,1,1
2015,Wayne Ellington,2,LAL,25.8,65.0,4,0,0,1,2,2,3
2015,Monta Ellis,2,DAL,33.7,80.0,3,3,3,2,4,3,5
2015,James Ennis III,3,MIA,17.0,62.0,2,1,0,1,2,2,0
