Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Álex Abrines,SG,23,OKC,5,80,7.0,.485,.739,.174,2.6,10.0,6.1,7.1,0.0,0.0,0.0,13.3,,0.1,0.0,0.1,.033,,-2.8,-1.9,-4.7,-0.1,2017
Steven Adams,C,23,OKC,5,157,15.4,.609,.000,.393,11.1,12.4,11.7,6.5,1.9,5.5,10.9,10.0,,0.3,0.1,0.4,.116,,-0.5,0.9,0.5,0.1,2017
LaMarcus Aldridge,PF,31,SAS,16,537,15.2,.500,.058,.229,8.9,17.0,12.8,7.2,1.0,2.9,9.6,24.1,,0.2,0.4,0.6,.058,,-0.9,-0.8,-1.7,0.0,2017
Lavoy Allen,PF,27,IND,3,11,-2.6,,,,0.0,21.7,10.7,0.0,0.0,0.0,100.0,4.0,,0.0,0.0,0.0,-0.145,,-6.8,-1.9,-8.8,0.0,2017
Al-Farouq Aminu,PF,26,POR,4,113,12.4,.574,.459,.297,4.4,21.2,12.2,6.0,1.2,3.0,17.7,18.7,,0.0,0.1,0.0,.016,,-0.2,0.1,-0.1,0.1,2017
Kyle Anderson,SF,23,SAS,15,195,21.6,.603,.156,.172,6.8,21.0,13.6,20.1,2.6,1.0,9.2,17.2,,0.5,0.2,0.8,.187,,3.5,3.3,6.8,0.4,2017
Ryan Anderson,PF,28,HOU,11,336,8.5,.520,.652,.174,4.9,13.2,9.2,3.1,0.6,0.5,8.3,14.1,,0.1,0.3,0.4,.058,,-0.8,-2.0,-2.7,-0.1,2017
Giannis Antetokounmpo,SF,22,MIL,6,243,21.9,.563,.089,.411,4.6,25.1,14.1,20.6,2.8,4.0,13.1,29.9,,0.1,0.6,0.7,.138,,3.8,2.8,6.6,0.5,2017
Joel Anthony,C,34,SAS,3,15,19.6,.676,.000,.250,14.8,16.1,15.4,0.0,0.0,13.2,18.4,16.1,,0.0,0.0,0.0,.119,,-1.9,1.0,-0.8,0.0,2017
Trevor Ariza,SF,31,HOU,11,413,10.5,.572,.629,.144,2.1,12.2,7.3,8.3,1.7,0.4,8.0,11.9,,0.4,0.4,0.9,.101,,0.3,0.7,1.0,0.3,2017
Wade Baldwin,PG,20,MEM,3,12,13.1,.532,.000,2.000,10.8,32.4,21.6,23.5,0.0,0.0,0.0,7.9,,0.0,0.0,0.0,.182,,-4.4,1.1,-3.3,0.0,2017
Matt Barnes,SF,36,GSW,12,61,0.8,.300,.533,.000,0.0,14.9,8.0,13.8,1.6,0.0,16.7,12.7,,-0.1,0.1,-0.1,-0.040,,-6.6,-0.5,-7.1,-0.1,2017
Brandon Bass,PF,31,LAC,1,4,25.5,.333,.000,.000,31.0,0.0,15.9,0.0,13.4,0.0,0.0,36.1,,0.0,0.0,0.0,.029,,4.3,1.3,5.6,0.0,2017
Kent Bazemore,SF,27,ATL,6,150,9.4,.499,.453,.264,3.0,14.3,8.6,20.8,1.3,2.7,21.3,21.2,,-0.2,0.2,0.0,.007,,-2.6,1.5,-1.1,0.0,2017
Bradley Beal,SG,23,WAS,13,505,18.0,.565,.390,.236,3.4,6.7,5.0,11.8,2.1,1.4,8.6,26.7,,0.8,0.4,1.2,.112,,3.3,-0.8,2.5,0.6,2017
Michael Beasley,PF,28,MIL,4,48,3.3,.391,.250,.200,4.7,18.9,11.3,3.6,1.1,2.0,8.4,23.6,,-0.2,0.1,-0.1,-0.083,,-5.1,-1.3,-6.4,-0.1,2017
Dāvis Bertāns,PF,24,SAS,13,112,11.7,.607,.741,.222,5.0,16.1,10.3,3.7,1.4,3.5,16.8,14.1,,0.1,0.1,0.2,.076,,0.0,0.0,0.0,0.1,2017
Patrick Beverley,SG,28,HOU,11,325,13.2,.530,.477,.128,7.2,13.0,10.1,16.1,2.5,0.5,13.5,18.0,,0.2,0.4,0.7,.099,,0.9,0.6,1.5,0.3,2017
Bojan Bogdanović,SF,27,WAS,13,264,13.6,.569,.517,.368,4.4,20.2,12.3,4.9,1.1,0.3,7.3,17.8,,0.4,0.2,0.6,.113,,1.3,-1.3,0.0,0.1,2017
Joel Bolomboy,PF,23,UTA,2,9,21.8,.667,.000,.000,0.0,26.8,13.3,0.0,0.0,9.9,0.0,15.9,,0.0,0.0,0.0,.164,,3.9,2.8,6.6,0.0,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Avery Bradley,SG,26,BOS,18,645,12.0,.530,.419,.099,3.2,10.0,6.4,10.4,1.8,0.4,9.8,22.1,,-0.1,0.3,0.2,.016,,-0.5,-1.6,-2.1,0.0,2017
Malcolm Brogdon,SG,24,MIL,6,183,8.1,.491,.382,.000,1.8,16.3,8.5,19.0,0.9,1.1,17.9,17.5,,-0.2,0.3,0.1,.020,,-2.5,-0.8,-3.3,-0.1,2017
Aaron Brooks,PG,32,IND,1,7,23.5,.833,.667,.000,0.0,17.0,8.4,25.6,0.0,0.0,25.0,25.0,,0.0,0.0,0.0,.109,,8.3,-0.2,8.1,0.0,2017
Bobby Brown,PG,32,HOU,5,22,31.7,.625,.550,.000,0.0,9.6,4.9,14.4,0.0,0.0,0.0,39.9,,0.1,0.0,0.1,.158,,12.0,-1.7,10.3,0.1,2017
Jaylen Brown,SF,20,BOS,17,215,10.6,.539,.324,.254,6.3,13.5,9.8,9.5,1.4,0.8,14.1,19.4,,0.0,0.1,0.1,.022,,-2.8,-1.0,-3.8,-0.1,2017
