Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Precious Achiuwa,C,22,TOR,6,1,27.8,4.2,8.7,.481,0.8,2.7,.313,3.3,6.0,.556,.529,1.0,1.7,.600,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,2022
Steven Adams,C,28,MEM,7,5,16.3,1.3,3.0,.429,0.0,0.0,,1.3,3.0,.429,.429,0.9,1.6,.545,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,2022
Bam Adebayo,C,24,MIA,18,18,34.1,5.8,9.7,.594,0.0,0.1,.000,5.8,9.7,.598,.594,3.2,4.2,.763,2.1,5.9,8.0,2.7,1.0,0.7,2.1,3.1,14.8,2022
Nickeil Alexander-Walker,SG,23,UTA,1,0,5.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,1.0,1.0,1.000,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2022
Grayson Allen,SG,26,MIL,12,5,25.4,3.1,6.8,.451,1.6,4.0,.396,1.5,2.8,.529,.567,0.6,0.9,.636,0.4,2.5,2.9,1.3,0.7,0.3,0.8,1.8,8.3,2022
Jose Alvarado,PG,23,NOP,6,0,19.5,2.7,5.5,.485,1.0,2.7,.375,1.7,2.8,.588,.576,1.7,2.2,.769,0.3,1.0,1.3,1.5,1.2,0.2,1.2,3.0,8.0,2022
Kyle Anderson,PF,28,MEM,12,1,18.4,2.4,4.3,.569,0.3,1.0,.250,2.2,3.3,.667,.598,0.9,1.5,.611,0.8,3.5,4.3,1.8,0.9,0.6,0.8,1.8,6.0,2022
Giannis Antetokounmpo,PF,27,MIL,12,12,37.3,11.7,23.8,.491,0.8,3.4,.220,10.9,20.3,.537,.507,7.6,11.2,.679,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7,2022
Thanasis Antetokounmpo,SF,29,MIL,8,0,2.5,0.3,0.4,.667,0.0,0.0,,0.3,0.4,.667,.667,0.1,0.4,.333,0.1,0.4,0.5,0.1,0.1,0.0,0.0,0.5,0.6,2022
OG Anunoby,SF,24,TOR,6,6,36.2,6.5,13.7,.476,2.3,6.8,.341,4.2,6.8,.610,.561,2.0,2.7,.750,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3,2022
Deandre Ayton,C,23,PHO,13,13,30.5,8.1,12.6,.640,0.2,0.3,.500,7.9,12.3,.644,.646,1.6,2.5,.636,2.5,6.4,8.9,1.7,0.4,0.8,1.5,2.6,17.9,2022
Desmond Bane,SG,23,MEM,12,12,35.7,6.3,13.3,.478,3.6,7.3,.489,2.8,5.9,.465,.613,2.5,2.9,.857,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8,2022
Dalano Banton,PG,22,TOR,4,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.8,1.5,.500,0.5,0.0,0.5,0.3,0.3,0.0,0.3,0.0,1.8,2022
Scottie Barnes,PF,20,TOR,4,3,33.3,4.5,10.5,.429,0.5,3.0,.167,4.0,7.5,.533,.452,3.3,4.0,.813,1.8,7.3,9.0,4.3,1.0,0.3,1.3,3.0,12.8,2022
Will Barton,SG,31,DEN,5,5,34.4,5.4,13.2,.409,2.2,5.6,.393,3.2,7.6,.421,.492,0.8,1.2,.667,1.0,4.6,5.6,2.8,0.8,0.2,2.0,2.2,13.8,2022
Charles Bassey,C,21,PHI,3,0,4.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.3,.000,0.3,1.3,1.7,0.3,0.0,0.3,0.0,0.3,0.7,2022
Malik Beasley,SG,25,MIN,6,0,19.8,3.2,7.3,.432,1.3,4.2,.320,1.8,3.2,.579,.523,0.8,1.0,.833,0.3,3.0,3.3,0.7,0.3,0.2,1.2,1.5,8.5,2022
Dāvis Bertāns,PF,29,DAL,18,0,10.7,1.2,3.1,.400,1.1,2.8,.373,0.2,0.2,.750,.573,0.6,0.7,.833,0.2,1.2,1.4,0.3,0.4,0.1,0.2,1.4,4.1,2022
Patrick Beverley,PG,33,MIN,6,6,32.3,3.5,8.2,.429,1.5,4.3,.346,2.0,3.8,.522,.520,2.5,3.7,.682,0.7,2.5,3.2,4.8,1.2,1.2,2.0,4.7,11.0,2022
Khem Birch,C,29,TOR,6,4,10.5,1.3,2.7,.500,0.3,0.7,.500,1.0,2.0,.500,.563,0.0,0.0,,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3.0,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Bismack Biyombo,C,29,PHO,9,0,9.6,1.2,1.9,.647,0.0,0.0,,1.2,1.9,.647,.647,0.3,0.7,.500,0.9,1.2,2.1,0.6,0.1,0.2,0.7,1.4,2.8,2022
Nemanja Bjelica,C,33,GSW,15,0,10.0,1.2,2.3,.529,0.2,0.5,.375,1.0,1.7,.577,.574,0.3,0.5,.571,0.4,1.7,2.1,1.1,0.3,0.1,0.5,1.4,2.9,2022
Bogdan Bogdanović,SG,29,ATL,4,0,26.8,5.0,12.3,.408,2.3,6.5,.346,2.8,5.8,.478,.500,2.0,2.5,.800,1.0,3.8,4.8,3.0,0.3,0.3,1.0,3.0,14.3,2022
Bojan Bogdanović,PF,32,UTA,6,6,35.7,6.5,13.5,.481,1.8,5.5,.333,4.7,8.0,.583,.549,3.2,4.0,.792,0.5,3.7,4.2,1.7,0.3,0.0,2.0,4.0,18.0,2022
Isaac Bonga,SF,22,TOR,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2022
Devin Booker,SG,25,PHO,10,10,36.6,7.9,17.5,.451,2.8,6.5,.431,5.1,11.0,.464,.531,4.7,5.3,.887,1.0,3.8,4.8,4.4,0.5,0.4,3.2,2.5,23.3,2022
Chris Boucher,SF,29,TOR,6,0,21.7,4.3,7.0,.619,1.0,2.5,.400,3.3,4.5,.741,.690,1.5,1.7,.900,2.0,3.8,5.8,0.2,0.2,1.2,0.3,2.2,11.2,2022
Tony Bradley,C,24,CHI,2,0,4.0,2.5,2.5,1.000,0.0,0.0,,2.5,2.5,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,2022
Mikal Bridges,SF,25,PHO,13,13,38.5,5.1,10.6,.478,1.0,2.5,.394,4.1,8.1,.505,.525,2.2,2.3,.933,0.9,3.8,4.7,2.8,1.1,1.0,0.8,2.4,13.3,2022
Armoni Brooks,PG,23,TOR,4,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2022
Dillon Brooks,SF,26,MEM,11,11,30.5,5.5,15.6,.349,2.3,6.5,.347,3.2,9.1,.350,.422,1.5,2.3,.640,0.7,2.0,2.7,2.7,1.0,0.3,2.0,3.3,14.6,2022
Bruce Brown,SF,25,BRK,4,4,34.8,5.3,9.3,.568,1.5,3.5,.429,3.8,5.8,.652,.649,2.0,2.5,.800,1.5,3.3,4.8,2.8,1.3,0.8,2.3,4.0,14.0,2022
Jaylen Brown,SF,25,BOS,24,24,38.3,8.2,17.5,.470,2.5,6.7,.373,5.7,10.8,.531,.542,4.2,5.5,.763,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3.0,23.1,2022
Sterling Brown,SG,26,DAL,9,0,2.9,0.3,1.1,.300,0.0,0.4,.000,0.3,0.7,.500,.300,0.6,0.8,.714,0.1,0.8,0.9,0.3,0.4,0.2,0.3,0.0,1.2,2022
Troy Brown Jr.,SF,22,CHI,3,0,12.3,1.7,5.7,.294,0.7,3.7,.182,1.0,2.0,.500,.353,0.0,0.0,,0.3,2.3,2.7,1.0,0.7,0.0,1.0,0.7,4.0,2022
Jalen Brunson,SG,25,DAL,18,18,34.9,8.1,17.3,.466,1.4,4.2,.347,6.6,13.1,.504,.508,4.0,5.0,.800,0.8,3.8,4.6,3.7,0.8,0.1,1.1,2.1,21.6,2022
Reggie Bullock,SF,30,DAL,18,18,39.3,3.4,8.4,.404,2.9,7.3,.397,0.5,1.1,.450,.576,0.9,1.0,.889,0.4,4.1,4.6,1.7,1.2,0.1,0.4,2.7,10.6,2022
Trey Burke,PG,29,DAL,10,0,3.7,1.1,2.2,.500,0.4,1.0,.400,0.7,1.2,.583,.591,0.6,0.6,1.000,0.0,0.3,0.3,0.4,0.1,0.0,0.1,0.3,3.2,2022
