Player,Tm,season,Ave +/-
Quincy Acy,SAC,2016,-2.2954545454545454
Jordan Adams,MEM,2016,2.0
Steven Adams,OKC,2016,6.9
Arron Afflalo,NYK,2016,-3.290909090909091
Alexis Ajinça,NOP,2016,-1.2619047619047619
Cole Aldrich,LAC,2016,0.2608695652173913
LaMarcus Aldridge,SAS,2016,7.842105263157895
Cliff Alexander,POR,2016,-3.1666666666666665
Lavoy Allen,IND,2016,3.2542372881355934
Tony Allen,MEM,2016,-2.0408163265306123
Al-Farouq Aminu,POR,2016,1.2258064516129032
Lou Amundson,NYK,2016,-1.6666666666666667
Chris Andersen,TOT,2016,-1.4285714285714286
Chris Andersen,MIA,2016,-1.4285714285714286
Chris Andersen,MEM,2016,-1.4285714285714286
Alan Anderson,WAS,2016,2.2857142857142856
James Anderson,SAC,2016,-1.0975609756097562
Justin Anderson,DAL,2016,0.875
Kyle Anderson,SAS,2016,3.1186440677966103
Ryan Anderson,NOP,2016,0.7254901960784313
Giannis Antetokounmpo,MIL,2016,-1.7377049180327868
Thanasis Antetokounmpo,NYK,2016,-3.0
Carmelo Anthony,NYK,2016,-1.9824561403508771
Joel Anthony,DET,2016,-0.23076923076923078
Keith Appling,ORL,2016,2.0
Trevor Ariza,HOU,2016,0.5409836065573771
Darrell Arthur,DEN,2016,-0.5185185185185185
Ömer Aşık,NOP,2016,-1.9056603773584906
D.J. Augustin,TOT,2016,-0.023809523809523808
D.J. Augustin,OKC,2016,-0.023809523809523808
D.J. Augustin,DEN,2016,-0.023809523809523808
Jeff Ayres,LAC,2016,-2.090909090909091
Luke Babbitt,NOP,2016,-0.5714285714285714
Cameron Bairstow,CHI,2016,-1.4615384615384615
Leandro Barbosa,GSW,2016,-1.4313725490196079
J.J. Barea,DAL,2016,0.0
Andrea Bargnani,BRK,2016,-4.285714285714286
Harrison Barnes,GSW,2016,6.375
Matt Barnes,MEM,2016,-3.8620689655172415
Will Barton,DEN,2016,-2.306451612903226
Brandon Bass,LAL,2016,-0.46
Nicolas Batum,CHO,2016,2.9411764705882355
Jerryd Bayless,MIL,2016,-4.378378378378378
Aron Baynes,DET,2016,-1.180327868852459
Kent Bazemore,ATL,2016,0.7017543859649122
Bradley Beal,WAS,2016,-0.6585365853658537
Michael Beasley,HOU,2016,-0.3333333333333333
Marco Belinelli,SAC,2016,-2.823529411764706
Anthony Bennett,TOR,2016,-1.75
Patrick Beverley,HOU,2016,0.9433962264150944
Bismack Biyombo,TOR,2016,2.032258064516129
Nemanja Bjelica,MIN,2016,-1.425531914893617
Tarik Black,LAL,2016,-0.10714285714285714
DeJuan Blair,WAS,2016,-1.75
Steve Blake,DET,2016,-1.1162790697674418
Eric Bledsoe,PHO,2016,-1.3636363636363635
Bojan Bogdanović,BRK,2016,-4.868852459016393
Andrew Bogut,GSW,2016,5.90566037735849
Matt Bonner,SAS,2016,1.6363636363636365
Devin Booker,PHO,2016,-5.135593220338983
