Player,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Tm,Home,Win,season,date
Jimmy Butler,8,19,.421,1,4,.250,5,6,.833,1,7,8,8,4,2,3,1,22,+22,CHI,0,1,2017,20170418
Rajon Rondo,5,11,.455,0,3,.000,1,2,.500,2,7,9,14,5,0,3,1,11,+24,CHI,0,1,2017,20170418
Robin Lopez,8,12,.667,0,0,0,2,2,1.000,6,3,9,1,2,1,0,1,18,+17,CHI,0,1,2017,20170418
Dwyane Wade,9,16,.563,3,4,.750,1,2,.500,1,3,4,2,0,1,0,3,22,+22,CHI,0,1,2017,20170418
Nikola Mirotić,5,13,.385,3,9,.333,0,0,0,2,5,7,2,0,2,1,2,13,+18,CHI,0,1,2017,20170418
Paul Zipser,6,8,.750,2,3,.667,2,2,1.000,0,1,1,1,0,0,2,4,16,-6,CHI,0,1,2017,20170418
Cristiano Felício,2,3,.667,0,0,0,0,0,0,0,3,3,0,0,0,1,4,4,-3,CHI,0,1,2017,20170418
Bobby Portis,1,1,1.000,1,1,1.000,0,0,0,0,3,3,0,0,0,0,1,3,-11,CHI,0,1,2017,20170418
Jerian Grant,0,3,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-14,CHI,0,1,2017,20170418
Michael Carter-Williams,1,3,.333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,+1,CHI,0,1,2017,20170418
Denzel Valentine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,1,2017,20170418
Isaiah Thomas,6,15,.400,1,5,.200,7,13,.538,2,2,4,2,1,0,5,2,20,-20,BOS,1,0,2017,20170418
Avery Bradley,5,15,.333,2,8,.250,0,0,0,0,3,3,3,1,1,2,2,12,-22,BOS,1,0,2017,20170418
Jae Crowder,6,11,.545,2,6,.333,2,2,1.000,1,2,3,4,0,0,2,3,16,-12,BOS,1,0,2017,20170418
Al Horford,3,8,.375,0,0,0,1,2,.500,2,9,11,5,1,1,1,1,7,-19,BOS,1,0,2017,20170418
Amir Johnson,2,3,.667,0,0,0,0,0,0,2,0,2,0,0,0,1,2,4,-4,BOS,1,0,2017,20170418
Marcus Smart,6,11,.545,1,4,.250,0,0,0,1,7,8,2,2,1,1,3,13,-2,BOS,1,0,2017,20170418
Kelly Olynyk,4,8,.500,2,4,.500,1,2,.500,1,3,4,7,1,0,1,3,11,+2,BOS,1,0,2017,20170418
Terry Rozier,2,4,.500,1,2,.500,0,0,0,0,1,1,2,0,1,0,0,5,+11,BOS,1,0,2017,20170418
Jaylen Brown,1,3,.333,0,2,.000,0,0,0,1,0,1,1,0,0,2,1,2,-8,BOS,1,0,2017,20170418
Tyler Zeller,2,2,1.000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,+1,BOS,1,0,2017,20170418
James Young,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,0,0,0,3,+3,BOS,1,0,2017,20170418
Trevor Ariza,2,9,.222,0,4,.000,3,3,1.000,2,6,8,0,0,0,0,1,7,-7,HOU,0,0,2017,20170421
James Harden,11,21,.524,4,12,.333,18,18,1.000,1,5,6,6,0,1,7,5,44,+1,HOU,0,0,2017,20170421
Ryan Anderson,8,14,.571,2,7,.286,0,0,0,2,4,6,0,1,0,1,4,18,+1,HOU,0,0,2017,20170421
Patrick Beverley,0,6,.000,0,3,.000,1,2,.500,2,5,7,2,0,0,3,6,1,-7,HOU,0,0,2017,20170421
Clint Capela,2,5,.400,0,0,0,1,3,.333,1,1,2,0,1,3,1,2,5,-15,HOU,0,0,2017,20170421
Eric Gordon,5,11,.455,1,5,.200,1,1,1.000,0,3,3,1,2,1,0,3,12,+6,HOU,0,0,2017,20170421
Lou Williams,9,15,.600,3,4,.750,1,2,.500,2,2,4,1,0,0,0,1,22,+4,HOU,0,0,2017,20170421
Nenê,1,2,.500,0,0,0,2,4,.500,1,5,6,0,0,1,1,2,4,+7,HOU,0,0,2017,20170421
Russell Westbrook,11,24,.458,0,1,.000,10,14,.714,0,12,12,11,3,0,5,3,32,+3,OKC,1,1,2017,20170421
Andre Roberson,5,8,.625,2,3,.667,0,5,.000,3,3,6,4,2,3,0,3,12,0,OKC,1,1,2017,20170421
Victor Oladipo,5,8,.625,2,3,.667,0,0,0,1,5,6,2,2,0,1,4,12,+9,OKC,1,1,2017,20170421
Taj Gibson,10,13,.769,0,0,0,0,0,0,0,2,2,1,0,0,5,2,20,-1,OKC,1,1,2017,20170421
Steven Adams,2,5,.400,0,0,0,0,0,0,3,3,6,2,1,0,0,2,4,+5,OKC,1,1,2017,20170421
Jerami Grant,3,5,.600,0,1,.000,0,0,0,0,1,1,2,0,0,0,2,6,-7,OKC,1,1,2017,20170421
Álex Abrines,2,5,.400,2,5,.400,2,2,1.000,1,2,3,1,0,0,0,2,8,-3,OKC,1,1,2017,20170421
Doug McDermott,2,4,.500,2,4,.500,0,0,0,0,1,1,0,0,1,0,1,6,+4,OKC,1,1,2017,20170421
Enes Freedom,4,8,.500,0,0,0,2,2,1.000,1,2,3,0,0,1,0,1,10,+1,OKC,1,1,2017,20170421
Norris Cole,2,3,.667,1,2,.500,0,0,0,0,0,0,1,0,0,0,1,5,-1,OKC,1,1,2017,20170421
LeBron James,19,30,.633,2,5,.400,1,4,.250,2,11,13,8,2,1,2,3,41,-13,CLE,0,0,2017,20170612
Kyrie Irving,9,22,.409,1,2,.500,7,7,1.000,1,1,2,6,2,0,4,3,26,+4,CLE,0,0,2017,20170612
J.R. Smith,9,11,.818,7,8,.875,0,1,.000,0,3,3,1,0,2,0,2,25,-2,CLE,0,0,2017,20170612
Kevin Love,2,8,.250,0,3,.000,2,5,.400,3,7,10,2,0,1,0,2,6,-23,CLE,0,0,2017,20170612
Tristan Thompson,6,8,.750,0,0,0,3,4,.750,4,4,8,3,1,1,3,1,15,-7,CLE,0,0,2017,20170612
Kyle Korver,1,3,.333,1,2,.500,0,0,0,0,0,0,0,0,0,1,3,3,0,CLE,0,0,2017,20170612
Richard Jefferson,1,3,.333,0,1,.000,2,2,1.000,2,0,2,0,0,0,1,4,4,+3,CLE,0,0,2017,20170612
Deron Williams,0,2,.000,0,2,.000,0,0,0,0,2,2,2,1,0,2,1,0,+2,CLE,0,0,2017,20170612
Iman Shumpert,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,1,3,0,-9,CLE,0,0,2017,20170612
Draymond Green,3,10,.300,2,5,.400,2,4,.500,3,9,12,5,2,0,0,4,10,+19,GSW,1,1,2017,20170612
Stephen Curry,10,20,.500,2,9,.222,12,15,.800,2,4,6,10,3,0,4,3,34,+3,GSW,1,1,2017,20170612
Kevin Durant,14,20,.700,5,8,.625,6,6,1.000,1,5,6,5,1,0,4,3,39,+18,GSW,1,1,2017,20170612
Klay Thompson,4,13,.308,3,7,.429,0,0,0,1,4,5,2,1,1,0,4,11,-6,GSW,1,1,2017,20170612
Zaza Pachulia,0,1,.000,0,0,0,0,0,0,3,0,3,1,0,0,2,4,0,-9,GSW,1,1,2017,20170612
Andre Iguodala,9,14,.643,2,7,.286,0,0,0,1,3,4,3,0,0,1,1,20,+18,GSW,1,1,2017,20170612
Patrick McCaw,2,5,.400,0,2,.000,2,2,1.000,2,1,3,1,1,0,1,2,6,-3,GSW,1,1,2017,20170612
David West,2,4,.500,0,0,0,0,0,0,0,3,3,0,0,1,1,1,4,+16,GSW,1,1,2017,20170612
Shaun Livingston,2,3,.667,0,0,0,1,1,1.000,0,0,0,0,0,0,0,2,5,-6,GSW,1,1,2017,20170612
Matt Barnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,GSW,1,1,2017,20170612
Dennis Schröder,8,16,.500,3,5,.600,6,6,1.000,1,2,3,9,1,0,2,4,25,-11,ATL,0,0,2017,20170416
Paul Millsap,5,8,.625,0,1,.000,9,11,.818,0,2,2,1,0,0,4,2,19,-20,ATL,0,0,2017,20170416
Taurean Prince,6,11,.545,2,4,.500,0,0,0,2,4,6,0,0,0,2,3,14,-4,ATL,0,0,2017,20170416
Dwight Howard,2,6,.333,0,0,0,3,4,.750,4,10,14,1,1,1,1,3,7,-21,ATL,0,0,2017,20170416
Tim Hardaway Jr.,2,11,.182,0,6,.000,3,5,.600,0,7,7,1,1,0,2,2,7,-14,ATL,0,0,2017,20170416
Kent Bazemore,4,10,.400,2,5,.400,2,4,.500,2,1,3,4,0,1,1,3,12,+9,ATL,0,0,2017,20170416
Ersan İlyasova,3,6,.500,0,1,.000,3,3,1.000,3,6,9,0,0,0,3,1,9,+7,ATL,0,0,2017,20170416
Mike Muscala,2,5,.400,0,1,.000,4,4,1.000,1,1,2,1,0,1,1,3,8,+20,ATL,0,0,2017,20170416
Mike Dunleavy,1,2,.500,0,1,.000,2,2,1.000,0,1,1,0,1,0,2,0,4,+2,ATL,0,0,2017,20170416
José Calderón,1,3,.333,0,1,.000,0,0,0,0,1,1,1,1,0,1,1,2,-3,ATL,0,0,2017,20170416
Bradley Beal,9,21,.429,2,11,.182,2,3,.667,2,1,3,3,3,0,3,3,22,+21,WAS,1,1,2017,20170416
Markieff Morris,8,19,.421,2,6,.333,3,3,1.000,2,5,7,2,1,4,2,4,21,+18,WAS,1,1,2017,20170416
John Wall,12,24,.500,2,4,.500,6,6,1.000,0,4,4,14,0,1,3,2,32,+8,WAS,1,1,2017,20170416
Otto Porter Jr.,3,6,.500,1,2,.500,3,3,1.000,2,7,9,2,0,0,0,3,10,+20,WAS,1,1,2017,20170416
Marcin Gortat,7,11,.636,0,0,0,0,0,0,6,4,10,0,0,2,1,3,14,+21,WAS,1,1,2017,20170416
Kelly Oubre Jr.,4,8,.500,1,3,.333,2,2,1.000,1,2,3,1,2,1,0,4,11,-16,WAS,1,1,2017,20170416
Brandon Jennings,0,2,.000,0,1,.000,0,0,0,0,3,3,5,1,0,0,1,0,-10,WAS,1,1,2017,20170416
Bojan Bogdanović,2,8,.250,0,1,.000,0,0,0,1,1,2,1,1,0,0,0,4,-9,WAS,1,1,2017,20170416
Jason Smith,0,1,.000,0,0,0,0,0,0,1,0,1,0,0,1,3,4,0,-13,WAS,1,1,2017,20170416
