date,team1,team2,result
20170415,MIL,TOR,1
20170415,MEM,SAS,0
20170415,UTA,LAC,1
20170415,IND,CLE,0
20170416,ATL,WAS,0
20170416,POR,GSW,0
20170416,OKC,HOU,0
20170416,CHI,BOS,1
20170417,IND,CLE,0
20170417,MEM,SAS,0
20170418,CHI,BOS,1
20170418,UTA,LAC,0
20170418,MIL,TOR,0
20170419,ATL,WAS,0
20170419,POR,GSW,0
20170419,OKC,HOU,0
20170420,CLE,IND,1
20170420,TOR,MIL,0
20170420,SAS,MEM,0
20170421,LAC,UTA,1
20170421,HOU,OKC,0
20170421,BOS,CHI,1
20170422,GSW,POR,1
20170422,TOR,MIL,1
20170422,WAS,ATL,0
20170422,SAS,MEM,0
20170423,HOU,OKC,1
20170423,LAC,UTA,0
20170423,BOS,CHI,1
20170423,CLE,IND,1
20170424,WAS,ATL,0
20170424,MIL,TOR,0
20170424,GSW,POR,1
20170425,UTA,LAC,1
20170425,OKC,HOU,0
20170425,MEM,SAS,0
20170426,CHI,BOS,0
20170426,ATL,WAS,0
20170427,SAS,MEM,1
20170427,TOR,MIL,1
20170428,LAC,UTA,1
20170428,WAS,ATL,1
20170428,BOS,CHI,1
20170430,WAS,BOS,0
20170430,UTA,LAC,1
20170501,TOR,CLE,0
20170501,HOU,SAS,1
20170502,WAS,BOS,0
20170502,UTA,GSW,0
20170503,TOR,CLE,0
20170503,HOU,SAS,0
20170504,UTA,GSW,0
20170504,BOS,WAS,0
20170505,CLE,TOR,1
20170505,SAS,HOU,1
20170506,GSW,UTA,1
20170507,CLE,TOR,1
20170507,SAS,HOU,0
20170507,BOS,WAS,0
20170508,GSW,UTA,1
20170509,HOU,SAS,0
20170510,WAS,BOS,0
20170511,SAS,HOU,1
20170512,BOS,WAS,0
20170514,SAS,GSW,0
20170515,WAS,BOS,0
20170516,SAS,GSW,0
20170517,CLE,BOS,1
20170519,CLE,BOS,1
20170520,GSW,SAS,1
20170521,BOS,CLE,1
20170522,GSW,SAS,1
20170523,BOS,CLE,0
20170525,CLE,BOS,1
20170601,CLE,GSW,0
20170604,CLE,GSW,0
20170607,GSW,CLE,1
20170609,GSW,CLE,0
20170612,CLE,GSW,0
