Player,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Tm,Home,Win,season,date
Nik Stauskas,6,13,.462,1,6,.167,0,0,0,1,1,2,3,2,0,2,3,13,-16,PHI,0,0,2016,20160412
Robert Covington,7,12,.583,6,10,.600,4,6,.667,0,3,3,3,0,1,3,2,24,+6,PHI,0,0,2016,20160412
Nerlens Noel,5,9,.556,0,0,0,4,8,.500,2,8,10,3,3,1,1,4,14,-20,PHI,0,0,2016,20160412
Ish Smith,8,11,.727,2,3,.667,0,0,0,1,1,2,4,2,0,3,2,18,-9,PHI,0,0,2016,20160412
Jerami Grant,2,5,.400,1,2,.500,1,1,1.000,0,2,2,2,0,2,1,5,6,-5,PHI,0,0,2016,20160412
Hollis Thompson,3,11,.273,3,8,.375,0,2,.000,0,1,1,2,1,0,1,1,9,-17,PHI,0,0,2016,20160412
T.J. McConnell,1,6,.167,1,2,.500,0,0,0,0,3,3,4,0,0,1,0,3,-22,PHI,0,0,2016,20160412
Christian Wood,2,5,.400,0,1,.000,4,8,.500,3,2,5,0,0,2,0,1,8,-22,PHI,0,0,2016,20160412
Kendall Marshall,1,5,.200,1,3,.333,0,0,0,0,4,4,3,0,0,1,0,3,-15,PHI,0,0,2016,20160412
Norman Powell,6,10,.600,2,4,.500,4,4,1.000,0,4,4,1,3,0,2,2,18,+15,TOR,1,1,2016,20160412
Kyle Lowry,4,13,.308,3,8,.375,0,0,0,1,3,4,4,2,0,2,1,11,+12,TOR,1,1,2016,20160412
DeMar DeRozan,4,10,.400,0,1,.000,2,2,1.000,2,5,7,6,1,0,3,0,10,+24,TOR,1,1,2016,20160412
Luis Scola,5,10,.500,2,4,.500,0,2,.000,0,4,4,1,0,1,1,2,12,-7,TOR,1,1,2016,20160412
Jonas Valančiūnas,8,16,.500,0,0,0,1,1,1.000,6,5,11,0,0,1,1,3,17,+14,TOR,1,1,2016,20160412
Terrence Ross,7,10,.700,1,2,.500,2,2,1.000,0,2,2,4,2,0,0,1,17,+5,TOR,1,1,2016,20160412
Delon Wright,3,7,.429,0,0,0,2,2,1.000,0,2,2,5,1,1,2,0,8,+12,TOR,1,1,2016,20160412
Bismack Biyombo,6,8,.750,0,0,0,2,2,1.000,3,4,7,0,0,1,0,2,14,-1,TOR,1,1,2016,20160412
DeMarre Carroll,3,7,.429,2,5,.400,0,0,0,3,3,6,2,1,0,1,2,8,+30,TOR,1,1,2016,20160412
Jason Thompson,0,2,.000,0,1,.000,3,4,.750,1,3,4,1,0,0,1,3,3,+5,TOR,1,1,2016,20160412
Lucas Nogueira,2,2,1.000,0,0,0,0,0,0,0,1,1,1,1,1,0,4,4,+11,TOR,1,1,2016,20160412
DeAndre Jordan,5,7,.714,0,0,0,1,2,.500,8,12,20,2,1,3,1,4,11,+9,LAC,0,1,2016,20151231
Chris Paul,3,18,.167,0,4,.000,3,4,.750,1,4,5,12,2,0,3,0,9,+13,LAC,0,1,2016,20151231
J.J. Redick,9,15,.600,4,7,.571,4,4,1.000,0,2,2,0,1,0,1,2,26,+12,LAC,0,1,2016,20151231
Luc Mbah a Moute,2,6,.333,0,1,.000,0,1,.000,1,3,4,1,1,2,1,1,4,+1,LAC,0,1,2016,20151231
Paul Pierce,1,6,.167,1,3,.333,2,2,1.000,1,5,6,0,0,1,1,1,5,+9,LAC,0,1,2016,20151231
Wesley Johnson,3,10,.300,1,7,.143,0,0,0,0,3,3,2,1,0,0,2,7,+3,LAC,0,1,2016,20151231
Jamal Crawford,5,12,.417,1,5,.200,4,5,.800,0,1,1,3,0,0,1,1,15,+5,LAC,0,1,2016,20151231
Austin Rivers,3,9,.333,2,5,.400,1,1,1.000,0,1,1,1,0,0,1,0,9,-9,LAC,0,1,2016,20151231
Pablo Prigioni,2,4,.500,1,2,.500,0,0,0,1,0,1,2,1,0,2,1,5,-7,LAC,0,1,2016,20151231
Cole Aldrich,2,3,.667,0,0,0,0,0,0,1,3,4,1,1,0,1,2,4,-6,LAC,0,1,2016,20151231
Anthony Davis,7,17,.412,0,2,.000,0,2,.000,2,13,15,1,0,2,1,3,14,-10,NOP,1,0,2016,20151231
Eric Gordon,3,11,.273,2,5,.400,2,2,1.000,0,2,2,0,1,1,2,4,10,-8,NOP,1,0,2016,20151231
Tyreke Evans,5,13,.385,1,7,.143,3,5,.600,0,6,6,9,3,0,4,4,14,-6,NOP,1,0,2016,20151231
Ömer Aşık,2,2,1.000,0,0,0,0,0,0,1,7,8,0,0,0,1,1,4,+7,NOP,1,0,2016,20151231
Alonzo Gee,0,2,.000,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-5,NOP,1,0,2016,20151231
Norris Cole,6,13,.462,2,4,.500,1,2,.500,1,4,5,4,1,0,2,1,15,-6,NOP,1,0,2016,20151231
Ryan Anderson,7,11,.636,1,3,.333,2,2,1.000,0,4,4,0,0,0,0,1,17,+4,NOP,1,0,2016,20151231
Jrue Holiday,4,8,.500,1,2,.500,2,2,1.000,1,1,2,6,1,0,5,5,11,-1,NOP,1,0,2016,20151231
Dante Cunningham,0,2,.000,0,2,.000,0,0,0,0,0,0,0,0,0,0,0,0,-4,NOP,1,0,2016,20151231
Alexis Ajinça,2,3,.667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-1,NOP,1,0,2016,20151231
P.J. Hairston,8,13,.615,5,9,.556,0,0,0,0,4,4,0,1,0,3,4,21,+6,MEM,0,1,2016,20160226
Matt Barnes,0,5,.000,0,4,.000,0,0,0,0,7,7,3,1,1,1,1,0,+22,MEM,0,1,2016,20160226
Mike Conley,6,10,.600,2,5,.400,3,3,1.000,0,1,1,7,1,0,1,2,17,+29,MEM,0,1,2016,20160226
